transaction_id,customer_id,amount,location,transaction_hour,previous_transaction_amount,international
TXN000001,CUST0130,170.37,Nagpur,5,707.02,0
TXN000002,CUST0036,592.39,"Paris, France",9,2073.64,1
TXN000003,CUST0186,273.84,Jaipur,12,843.86,0
TXN000004,CUST0169,245.31,Delhi,18,1.0,0
TXN000005,CUST0202,81.22,Mumbai,5,99.29,0
TXN000006,CUST0233,700.85,"London, UK",16,1031.75,1
TXN000007,CUST0211,151.2,Hyderabad,17,1.0,0
TXN000008,CUST0069,202.12,Kolkata,18,1.0,0
TXN000009,CUST0198,90.41,Jaipur,6,142.43,0
TXN000010,CUST0437,69.0,Jaipur,9,413.68,0
TXN000011,CUST0386,332.25,Chennai,1,427.0,0
TXN000012,CUST0408,315.55,Kolkata,15,68.36,0
TXN000013,CUST0255,67.2,Delhi,22,468.88,0
TXN000014,CUST0292,275.66,Kolkata,20,1020.71,0
TXN000015,CUST0056,211.85,Delhi,20,345.09,0
TXN000016,CUST0498,185.83,Indore,3,841.52,0
TXN000017,CUST0450,227.13,Bhopal,7,175.28,0
TXN000018,CUST0177,379.98,Hyderabad,11,711.62,0
TXN000019,CUST0222,193.53,Kolkata,14,168.82,0
TXN000020,CUST0060,37.37,Kolkata,18,193.24,0
TXN000021,CUST0487,237.41,Ahmedabad,6,779.37,0
TXN000022,CUST0364,51.46,Delhi,16,1.0,0
TXN000023,CUST0245,531.4,Hyderabad,5,804.35,0
TXN000024,CUST0216,276.74,Kanpur,6,134.41,0
TXN000025,CUST0131,407.8,Ahmedabad,15,1.0,0
TXN000026,CUST0193,64.0,Lucknow,10,603.24,0
TXN000027,CUST0141,220.25,"Paris, France",2,759.91,1
TXN000028,CUST0425,109.65,Hyderabad,9,173.31,0
TXN000029,CUST0457,2837.63,"Tokyo, Japan",18,4479.63,1
TXN000030,CUST0021,96.81,Bengaluru,16,37.45,0
TXN000031,CUST0060,735.91,Bengaluru,15,1289.26,0
TXN000032,CUST0296,77.38,Nagpur,10,1.0,0
TXN000033,CUST0080,209.51,Chennai,19,647.28,0
TXN000034,CUST0251,184.58,Mumbai,15,1.0,0
TXN000035,CUST0048,202.54,"Tokyo, Japan",8,47.32,1
TXN000036,CUST0284,651.53,"New York, USA",19,694.69,1
TXN000037,CUST0319,128.57,Indore,23,1.0,0
TXN000038,CUST0230,155.7,Lucknow,8,196.96,0
TXN000039,CUST0239,140.58,Bhopal,7,462.62,0
TXN000040,CUST0229,200.64,Lucknow,17,808.69,0
TXN000041,CUST0493,279.01,Delhi,16,640.9,0
TXN000042,CUST0250,206.43,Bengaluru,1,330.96,0
